batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,6,654,0000827054_2019_4,9
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,7,655,0000827054_2019_4,10
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,8,656,0000827054_2019_4,11
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,9,657,0000827054_2019_4,15
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,10,660,0000827054_2019_4,18
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,11,664,0000827054_2019_4,22
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,12,665,0000827054_2019_4,23
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,13,667,0000827054_2019_4,26
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,14,195,0000828146_2005_4,11
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,15,197,0000828146_2005_4,13
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,16,1300,0000834285_2021_4,11
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,17,1312,0000834285_2021_4,26
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,18,1313,0000834285_2021_4,27
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_007.csv,19,1314,0000834285_2021_4,28
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,1,1332,0000835011_2006_4,16
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,2,1335,0000835011_2006_4,20
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,3,1354,0000835011_2006_4,39
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,4,1355,0000835011_2006_4,40
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,5,1358,0000835011_2006_4,43
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,6,1360,0000835011_2006_4,45
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,7,1363,0000835011_2006_4,48
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,8,1365,0000835011_2006_4,50
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,9,94,0000849146_2016_4,7
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,10,101,0000849146_2016_4,14
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,11,103,0000849146_2016_4,16
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,12,104,0000849146_2016_4,17
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,13,113,0000849146_2016_4,27
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,14,114,0000849146_2016_4,28
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,15,278,0000850033_2014_4,1
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,16,282,0000850033_2014_4,11
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,17,288,0000850033_2014_4,18
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,18,291,0000850033_2014_4,21
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,19,1475,0000850209_2009_4,4
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,20,1479,0000850209_2009_4,15
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,21,988,0000873303_2013_4,13
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_008.csv,22,989,0000873303_2013_4,15
batch_009,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_009.csv,1,828,0000874734_2005_4,2
batch_009,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_009.csv,2,833,0000874734_2005_4,13
